Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,325.859985,333.200012,325.100006,332.390015,332.390015,3173600
2014-07-02,333.200012,336.760010,331.660004,332.850006,332.850006,2681300
2014-07-03,334.829987,338.299988,333.079987,337.489990,337.489990,1944300
2014-07-07,337.500000,337.549988,332.519989,333.549988,333.549988,2128900
2014-07-08,333.100006,333.739990,321.399994,323.809998,323.809998,4271600
2014-07-09,324.709991,330.200012,323.149994,329.970001,329.970001,3166100
2014-07-10,324.339996,329.980011,322.649994,327.920013,327.920013,2665000
2014-07-11,334.709991,347.000000,334.709991,346.200012,346.200012,8300800
2014-07-14,347.029999,355.769989,345.359985,355.320007,355.320007,5609900
2014-07-15,353.720001,355.589996,349.399994,354.440002,354.440002,4170900
2014-07-16,355.619995,359.320007,353.000000,355.899994,355.899994,3503600
2014-07-17,353.440002,356.959991,351.380005,352.450012,352.450012,3636000
2014-07-18,354.399994,359.679993,352.079987,358.660004,358.660004,3407400
2014-07-21,358.100006,361.709991,356.720001,359.760010,359.760010,2278400
2014-07-22,355.250000,362.929993,355.250000,360.839996,360.839996,2888900
2014-07-23,359.049988,360.630005,356.619995,358.140015,358.140015,2687300
2014-07-24,359.980011,364.850006,358.519989,358.609985,358.609985,7088700
2014-07-25,317.299988,324.869995,314.760010,324.010010,324.010010,17846500
2014-07-28,324.250000,324.820007,316.500000,320.410004,320.410004,5932000
2014-07-29,321.980011,322.899994,319.500000,320.000000,320.000000,2883800
2014-07-30,321.450012,322.730011,318.500000,322.510010,322.510010,3969000
2014-07-31,320.010010,320.679993,311.859985,312.989990,312.989990,5192000
2014-08-01,313.690002,315.829987,304.589996,307.059998,307.059998,7441500
2014-08-04,308.839996,316.179993,308.500000,313.649994,313.649994,4200900
2014-08-05,313.299988,314.549988,310.059998,312.320007,312.320007,2852100
2014-08-06,310.829987,315.779999,310.200012,313.890015,313.890015,2296900
2014-08-07,315.209991,315.880005,309.649994,311.450012,311.450012,2935600
2014-08-08,311.940002,317.320007,310.660004,316.799988,316.799988,2705900
2014-08-11,318.480011,320.380005,316.880005,318.329987,318.329987,2468600
2014-08-12,318.890015,321.309998,316.950012,319.320007,319.320007,1915800
2014-08-13,327.600006,331.720001,326.140015,326.279999,326.279999,4939100
2014-08-14,327.799988,334.089996,326.709991,333.209991,333.209991,3420400
2014-08-15,334.000000,335.000000,328.320007,333.630005,333.630005,3896700
2014-08-18,335.480011,337.799988,333.769989,334.529999,334.529999,2485400
2014-08-19,334.869995,335.809998,333.010010,335.130005,335.130005,1713800
2014-08-20,334.679993,337.160004,334.019989,335.779999,335.779999,1810500
2014-08-21,336.480011,336.579987,332.230011,332.910004,332.910004,1971100
2014-08-22,332.989990,334.079987,330.799988,331.589996,331.589996,2211200
2014-08-25,333.209991,336.769989,332.709991,334.019989,334.019989,1957700
2014-08-26,337.000000,344.359985,334.549988,341.829987,341.829987,3654700
2014-08-27,342.089996,346.670013,341.339996,343.179993,343.179993,2961600
2014-08-28,340.000000,341.790009,338.799988,340.019989,340.019989,2252700
2014-08-29,341.760010,341.820007,337.679993,339.040009,339.040009,1939500
2014-09-02,339.980011,342.500000,337.160004,342.380005,342.380005,2326000
2014-09-03,342.540009,343.269989,337.549988,339.000000,339.000000,1993700
2014-09-04,343.690002,349.380005,343.579987,345.950012,345.950012,3965600
2014-09-05,346.299988,346.829987,342.500000,346.380005,346.380005,2107000
2014-09-08,344.540009,345.809998,339.040009,342.339996,342.339996,2955300
2014-09-09,341.609985,341.760010,329.179993,329.750000,329.750000,4646800
2014-09-10,334.299988,334.980011,328.820007,331.329987,331.329987,3797400
2014-09-11,329.940002,333.010010,326.390015,330.519989,330.519989,2720200
2014-09-12,329.559998,332.890015,328.790009,331.190002,331.190002,3429300
2014-09-15,330.910004,331.329987,319.000000,323.890015,323.890015,4000400
2014-09-16,321.070007,329.480011,320.100006,327.760010,327.760010,3259900
2014-09-17,327.760010,328.000000,321.519989,324.000000,324.000000,4136000
2014-09-18,325.440002,327.100006,323.709991,325.000000,325.000000,2576900
2014-09-19,327.600006,332.760010,325.570007,331.320007,331.320007,6886200
2014-09-22,328.489990,329.489990,321.059998,324.500000,324.500000,3109700
2014-09-23,322.459991,327.600006,321.250000,323.630005,323.630005,2352600
2014-09-24,324.170013,329.440002,319.559998,328.209991,328.209991,2642200
2014-09-25,327.989990,328.540009,321.399994,321.929993,321.929993,2928800
2014-09-26,320.600006,323.500000,317.640015,323.209991,323.209991,3638000
2014-09-29,320.500000,323.750000,319.000000,321.820007,321.820007,1924600
2014-09-30,321.359985,323.429993,318.510010,322.440002,322.440002,2636200
2014-10-01,322.040009,322.170013,315.549988,317.459991,317.459991,3089100
2014-10-02,316.920013,318.529999,311.309998,318.410004,318.410004,3553900
2014-10-03,320.359985,325.160004,319.529999,322.739990,322.739990,3037400
2014-10-06,323.500000,324.130005,319.600006,322.200012,322.200012,2290300
2014-10-07,319.429993,322.000000,316.670013,316.980011,316.980011,2365400
2014-10-08,316.579987,324.109985,314.140015,322.700012,322.700012,3452800
2014-10-09,321.489990,322.269989,314.519989,315.369995,315.369995,3587900
2014-10-10,314.019989,317.769989,311.380005,311.390015,311.390015,3681900
2014-10-13,309.869995,313.200012,303.470001,306.450012,306.450012,4363900
2014-10-14,308.000000,312.239990,305.750000,308.309998,308.309998,3385800
2014-10-15,304.350006,307.899994,299.100006,305.970001,305.970001,5343900
2014-10-16,293.829987,306.820007,293.829987,302.859985,302.859985,4731300
2014-10-17,307.149994,309.200012,302.720001,303.640015,303.640015,4405100
2014-10-20,302.950012,306.529999,302.019989,306.209991,306.209991,3234500
2014-10-21,309.899994,315.640015,307.070007,315.329987,315.329987,3559300
2014-10-22,315.429993,318.980011,312.640015,312.970001,312.970001,3125900
